group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day01_part1,Parse_string_dynamically,,,,969422.0,ns,76
day01_part1,Parse_string_dynamically,,,,2079905.0,ns,152
day01_part1,Parse_string_dynamically,,,,3160597.0,ns,228
day01_part1,Parse_string_dynamically,,,,3686852.0,ns,304
day01_part1,Parse_string_dynamically,,,,4737441.0,ns,380
day01_part1,Parse_string_dynamically,,,,5660809.0,ns,456
day01_part1,Parse_string_dynamically,,,,6951259.0,ns,532
day01_part1,Parse_string_dynamically,,,,7922358.0,ns,608
day01_part1,Parse_string_dynamically,,,,8443783.0,ns,684
day01_part1,Parse_string_dynamically,,,,12551401.0,ns,760
day01_part1,Parse_string_dynamically,,,,10955541.0,ns,836
day01_part1,Parse_string_dynamically,,,,11565731.0,ns,912
day01_part1,Parse_string_dynamically,,,,13301360.0,ns,988
day01_part1,Parse_string_dynamically,,,,13944897.0,ns,1064
day01_part1,Parse_string_dynamically,,,,14720796.0,ns,1140
day01_part1,Parse_string_dynamically,,,,16347666.0,ns,1216
day01_part1,Parse_string_dynamically,,,,16772028.0,ns,1292
day01_part1,Parse_string_dynamically,,,,17519313.0,ns,1368
day01_part1,Parse_string_dynamically,,,,18799237.0,ns,1444
day01_part1,Parse_string_dynamically,,,,19930214.0,ns,1520
day01_part1,Parse_string_dynamically,,,,20458920.0,ns,1596
day01_part1,Parse_string_dynamically,,,,21430066.0,ns,1672
day01_part1,Parse_string_dynamically,,,,22217017.0,ns,1748
day01_part1,Parse_string_dynamically,,,,22528713.0,ns,1824
day01_part1,Parse_string_dynamically,,,,23342192.0,ns,1900
day01_part1,Parse_string_dynamically,,,,25729465.0,ns,1976
day01_part1,Parse_string_dynamically,,,,29895669.0,ns,2052
day01_part1,Parse_string_dynamically,,,,27612839.0,ns,2128
day01_part1,Parse_string_dynamically,,,,29182240.0,ns,2204
day01_part1,Parse_string_dynamically,,,,28816206.0,ns,2280
day01_part1,Parse_string_dynamically,,,,29948068.0,ns,2356
day01_part1,Parse_string_dynamically,,,,34411500.0,ns,2432
day01_part1,Parse_string_dynamically,,,,36626658.0,ns,2508
day01_part1,Parse_string_dynamically,,,,32802441.0,ns,2584
