group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day04_part1,Parse_string_dynamically,,,,1017633.0,ns,5
day04_part1,Parse_string_dynamically,,,,2314255.0,ns,10
day04_part1,Parse_string_dynamically,,,,3060668.0,ns,15
day04_part1,Parse_string_dynamically,,,,4093249.0,ns,20
day04_part1,Parse_string_dynamically,,,,5362807.0,ns,25
day04_part1,Parse_string_dynamically,,,,6135639.0,ns,30
day04_part1,Parse_string_dynamically,,,,7050229.0,ns,35
day04_part1,Parse_string_dynamically,,,,8091123.0,ns,40
day04_part1,Parse_string_dynamically,,,,9065767.0,ns,45
day04_part1,Parse_string_dynamically,,,,9879115.0,ns,50
day04_part1,Parse_string_dynamically,,,,10707710.0,ns,55
day04_part1,Parse_string_dynamically,,,,11393604.0,ns,60
day04_part1,Parse_string_dynamically,,,,11995923.0,ns,65
day04_part1,Parse_string_dynamically,,,,13152987.0,ns,70
day04_part1,Parse_string_dynamically,,,,13986265.0,ns,75
day04_part1,Parse_string_dynamically,,,,14981933.0,ns,80
day04_part1,Parse_string_dynamically,,,,15769804.0,ns,85
day04_part1,Parse_string_dynamically,,,,16665613.0,ns,90
day04_part1,Parse_string_dynamically,,,,17662612.0,ns,95
day04_part1,Parse_string_dynamically,,,,18308570.0,ns,100
day04_part1,Parse_string_dynamically,,,,19473569.0,ns,105
day04_part1,Parse_string_dynamically,,,,21388018.0,ns,110
day04_part1,Parse_string_dynamically,,,,22129873.0,ns,115
day04_part1,Parse_string_dynamically,,,,45805892.0,ns,120
day04_part1,Parse_string_dynamically,,,,27352477.0,ns,125
day04_part1,Parse_string_dynamically,,,,27470014.0,ns,130
day04_part1,Parse_string_dynamically,,,,38280470.0,ns,135
day04_part1,Parse_string_dynamically,,,,30623179.0,ns,140
day04_part1,Parse_string_dynamically,,,,29188116.0,ns,145
day04_part1,Parse_string_dynamically,,,,29613285.0,ns,150
day04_part1,Parse_string_dynamically,,,,37011520.0,ns,155
day04_part1,Parse_string_dynamically,,,,34880284.0,ns,160
day04_part1,Parse_string_dynamically,,,,33382786.0,ns,165
day04_part1,Parse_string_dynamically,,,,33818641.0,ns,170
day04_part1,Parse_string_dynamically,,,,34152735.0,ns,175
day04_part1,Parse_string_dynamically,,,,35134366.0,ns,180
day04_part1,Parse_string_dynamically,,,,34788841.0,ns,185
day04_part1,Parse_string_dynamically,,,,41595306.0,ns,190
day04_part1,Parse_string_dynamically,,,,38860210.0,ns,195
day04_part1,Parse_string_dynamically,,,,37695806.0,ns,200
day04_part1,Parse_string_dynamically,,,,39838280.0,ns,205
day04_part1,Parse_string_dynamically,,,,39354536.0,ns,210
day04_part1,Parse_string_dynamically,,,,42391300.0,ns,215
day04_part1,Parse_string_dynamically,,,,41546145.0,ns,220
day04_part1,Parse_string_dynamically,,,,42549982.0,ns,225
day04_part1,Parse_string_dynamically,,,,42618578.0,ns,230
day04_part1,Parse_string_dynamically,,,,44022834.0,ns,235
day04_part1,Parse_string_dynamically,,,,45805814.0,ns,240
day04_part1,Parse_string_dynamically,,,,48711810.0,ns,245
day04_part1,Parse_string_dynamically,,,,49225118.0,ns,250
day04_part1,Parse_string_dynamically,,,,51945740.0,ns,255
day04_part1,Parse_string_dynamically,,,,64898726.0,ns,260
day04_part1,Parse_string_dynamically,,,,56675664.0,ns,265
day04_part1,Parse_string_dynamically,,,,53395241.0,ns,270
day04_part1,Parse_string_dynamically,,,,55316930.0,ns,275
day04_part1,Parse_string_dynamically,,,,55853247.0,ns,280
day04_part1,Parse_string_dynamically,,,,57392514.0,ns,285
day04_part1,Parse_string_dynamically,,,,54149093.0,ns,290
day04_part1,Parse_string_dynamically,,,,57651341.0,ns,295
day04_part1,Parse_string_dynamically,,,,55738727.0,ns,300
day04_part1,Parse_string_dynamically,,,,59271270.0,ns,305
day04_part1,Parse_string_dynamically,,,,59500696.0,ns,310
day04_part1,Parse_string_dynamically,,,,62079434.0,ns,315
day04_part1,Parse_string_dynamically,,,,61804623.0,ns,320
day04_part1,Parse_string_dynamically,,,,61153891.0,ns,325
day04_part1,Parse_string_dynamically,,,,61315216.0,ns,330
day04_part1,Parse_string_dynamically,,,,63393334.0,ns,335
day04_part1,Parse_string_dynamically,,,,64301789.0,ns,340
day04_part1,Parse_string_dynamically,,,,83979448.0,ns,345
day04_part1,Parse_string_dynamically,,,,69083678.0,ns,350
day04_part1,Parse_string_dynamically,,,,66066386.0,ns,355
day04_part1,Parse_string_dynamically,,,,70775129.0,ns,360
day04_part1,Parse_string_dynamically,,,,70498172.0,ns,365
day04_part1,Parse_string_dynamically,,,,69306318.0,ns,370
day04_part1,Parse_string_dynamically,,,,70835297.0,ns,375
day04_part1,Parse_string_dynamically,,,,75075897.0,ns,380
day04_part1,Parse_string_dynamically,,,,77105692.0,ns,385
day04_part1,Parse_string_dynamically,,,,74682087.0,ns,390
day04_part1,Parse_string_dynamically,,,,79414191.0,ns,395
day04_part1,Parse_string_dynamically,,,,78522741.0,ns,400
day04_part1,Parse_string_dynamically,,,,76490720.0,ns,405
day04_part1,Parse_string_dynamically,,,,87882418.0,ns,410
day04_part1,Parse_string_dynamically,,,,89254688.0,ns,415
day04_part1,Parse_string_dynamically,,,,81196423.0,ns,420
day04_part1,Parse_string_dynamically,,,,85200944.0,ns,425
day04_part1,Parse_string_dynamically,,,,85376195.0,ns,430
day04_part1,Parse_string_dynamically,,,,84248527.0,ns,435
day04_part1,Parse_string_dynamically,,,,84843926.0,ns,440
day04_part1,Parse_string_dynamically,,,,86299846.0,ns,445
day04_part1,Parse_string_dynamically,,,,85360588.0,ns,450
day04_part1,Parse_string_dynamically,,,,86977389.0,ns,455
day04_part1,Parse_string_dynamically,,,,86691745.0,ns,460
day04_part1,Parse_string_dynamically,,,,87707532.0,ns,465
day04_part1,Parse_string_dynamically,,,,108003897.0,ns,470
day04_part1,Parse_string_dynamically,,,,90554884.0,ns,475
day04_part1,Parse_string_dynamically,,,,91688270.0,ns,480
day04_part1,Parse_string_dynamically,,,,103606233.0,ns,485
day04_part1,Parse_string_dynamically,,,,107291303.0,ns,490
day04_part1,Parse_string_dynamically,,,,96869455.0,ns,495
day04_part1,Parse_string_dynamically,,,,100854011.0,ns,500
