group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day04_part2,Parse_string_dynamically,,,,1227841.0,ns,5
day04_part2,Parse_string_dynamically,,,,2629152.0,ns,10
day04_part2,Parse_string_dynamically,,,,3900804.0,ns,15
day04_part2,Parse_string_dynamically,,,,5325859.0,ns,20
day04_part2,Parse_string_dynamically,,,,6520152.0,ns,25
day04_part2,Parse_string_dynamically,,,,7330155.0,ns,30
day04_part2,Parse_string_dynamically,,,,8219679.0,ns,35
day04_part2,Parse_string_dynamically,,,,9434830.0,ns,40
day04_part2,Parse_string_dynamically,,,,10575384.0,ns,45
day04_part2,Parse_string_dynamically,,,,11810960.0,ns,50
day04_part2,Parse_string_dynamically,,,,13149034.0,ns,55
day04_part2,Parse_string_dynamically,,,,13922096.0,ns,60
day04_part2,Parse_string_dynamically,,,,15220766.0,ns,65
day04_part2,Parse_string_dynamically,,,,16340252.0,ns,70
day04_part2,Parse_string_dynamically,,,,17498691.0,ns,75
day04_part2,Parse_string_dynamically,,,,18765140.0,ns,80
day04_part2,Parse_string_dynamically,,,,19778590.0,ns,85
day04_part2,Parse_string_dynamically,,,,20242603.0,ns,90
day04_part2,Parse_string_dynamically,,,,21114197.0,ns,95
day04_part2,Parse_string_dynamically,,,,22764248.0,ns,100
day04_part2,Parse_string_dynamically,,,,23858459.0,ns,105
day04_part2,Parse_string_dynamically,,,,24222328.0,ns,110
day04_part2,Parse_string_dynamically,,,,24354104.0,ns,115
day04_part2,Parse_string_dynamically,,,,26301019.0,ns,120
day04_part2,Parse_string_dynamically,,,,42048320.0,ns,125
day04_part2,Parse_string_dynamically,,,,32026215.0,ns,130
day04_part2,Parse_string_dynamically,,,,30554124.0,ns,135
day04_part2,Parse_string_dynamically,,,,30094674.0,ns,140
day04_part2,Parse_string_dynamically,,,,32492810.0,ns,145
day04_part2,Parse_string_dynamically,,,,32820288.0,ns,150
day04_part2,Parse_string_dynamically,,,,34069737.0,ns,155
day04_part2,Parse_string_dynamically,,,,35360122.0,ns,160
day04_part2,Parse_string_dynamically,,,,36352448.0,ns,165
day04_part2,Parse_string_dynamically,,,,37232966.0,ns,170
day04_part2,Parse_string_dynamically,,,,37637284.0,ns,175
day04_part2,Parse_string_dynamically,,,,40477878.0,ns,180
day04_part2,Parse_string_dynamically,,,,42158330.0,ns,185
day04_part2,Parse_string_dynamically,,,,42427672.0,ns,190
day04_part2,Parse_string_dynamically,,,,44240218.0,ns,195
day04_part2,Parse_string_dynamically,,,,43406505.0,ns,200
day04_part2,Parse_string_dynamically,,,,45674220.0,ns,205
day04_part2,Parse_string_dynamically,,,,45781768.0,ns,210
day04_part2,Parse_string_dynamically,,,,47593659.0,ns,215
day04_part2,Parse_string_dynamically,,,,47534928.0,ns,220
day04_part2,Parse_string_dynamically,,,,47920840.0,ns,225
day04_part2,Parse_string_dynamically,,,,49734754.0,ns,230
day04_part2,Parse_string_dynamically,,,,52400538.0,ns,235
day04_part2,Parse_string_dynamically,,,,53513289.0,ns,240
day04_part2,Parse_string_dynamically,,,,70125860.0,ns,245
day04_part2,Parse_string_dynamically,,,,59108949.0,ns,250
day04_part2,Parse_string_dynamically,,,,58984643.0,ns,255
day04_part2,Parse_string_dynamically,,,,60588492.0,ns,260
day04_part2,Parse_string_dynamically,,,,62223018.0,ns,265
day04_part2,Parse_string_dynamically,,,,60298236.0,ns,270
day04_part2,Parse_string_dynamically,,,,59396577.0,ns,275
day04_part2,Parse_string_dynamically,,,,61649427.0,ns,280
day04_part2,Parse_string_dynamically,,,,63726447.0,ns,285
day04_part2,Parse_string_dynamically,,,,64067270.0,ns,290
day04_part2,Parse_string_dynamically,,,,66512256.0,ns,295
day04_part2,Parse_string_dynamically,,,,65969768.0,ns,300
day04_part2,Parse_string_dynamically,,,,66759793.0,ns,305
day04_part2,Parse_string_dynamically,,,,66191403.0,ns,310
day04_part2,Parse_string_dynamically,,,,69416951.0,ns,315
day04_part2,Parse_string_dynamically,,,,73244571.0,ns,320
day04_part2,Parse_string_dynamically,,,,87197170.0,ns,325
day04_part2,Parse_string_dynamically,,,,71430823.0,ns,330
day04_part2,Parse_string_dynamically,,,,72281457.0,ns,335
day04_part2,Parse_string_dynamically,,,,75893019.0,ns,340
day04_part2,Parse_string_dynamically,,,,77197410.0,ns,345
day04_part2,Parse_string_dynamically,,,,78721696.0,ns,350
day04_part2,Parse_string_dynamically,,,,78586630.0,ns,355
day04_part2,Parse_string_dynamically,,,,78327822.0,ns,360
day04_part2,Parse_string_dynamically,,,,81846792.0,ns,365
day04_part2,Parse_string_dynamically,,,,79858533.0,ns,370
day04_part2,Parse_string_dynamically,,,,80683775.0,ns,375
day04_part2,Parse_string_dynamically,,,,83413958.0,ns,380
day04_part2,Parse_string_dynamically,,,,101912262.0,ns,385
day04_part2,Parse_string_dynamically,,,,90552850.0,ns,390
day04_part2,Parse_string_dynamically,,,,88796679.0,ns,395
day04_part2,Parse_string_dynamically,,,,94421812.0,ns,400
day04_part2,Parse_string_dynamically,,,,90194016.0,ns,405
day04_part2,Parse_string_dynamically,,,,89557627.0,ns,410
day04_part2,Parse_string_dynamically,,,,90300649.0,ns,415
day04_part2,Parse_string_dynamically,,,,94700733.0,ns,420
day04_part2,Parse_string_dynamically,,,,92489578.0,ns,425
day04_part2,Parse_string_dynamically,,,,100002157.0,ns,430
day04_part2,Parse_string_dynamically,,,,98645599.0,ns,435
day04_part2,Parse_string_dynamically,,,,118112460.0,ns,440
day04_part2,Parse_string_dynamically,,,,101136442.0,ns,445
