group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day05_part2,Parse_string_dynamically,,,,1049927.0,ns,9
day05_part2,Parse_string_dynamically,,,,2081336.0,ns,18
day05_part2,Parse_string_dynamically,,,,2888498.0,ns,27
day05_part2,Parse_string_dynamically,,,,3235004.0,ns,36
day05_part2,Parse_string_dynamically,,,,4378399.0,ns,45
day05_part2,Parse_string_dynamically,,,,5799947.0,ns,54
day05_part2,Parse_string_dynamically,,,,5504756.0,ns,63
day05_part2,Parse_string_dynamically,,,,8389695.0,ns,72
day05_part2,Parse_string_dynamically,,,,7512959.0,ns,81
day05_part2,Parse_string_dynamically,,,,8513429.0,ns,90
day05_part2,Parse_string_dynamically,,,,12785989.0,ns,99
day05_part2,Parse_string_dynamically,,,,11579984.0,ns,108
day05_part2,Parse_string_dynamically,,,,13436313.0,ns,117
day05_part2,Parse_string_dynamically,,,,13484101.0,ns,126
day05_part2,Parse_string_dynamically,,,,20876871.0,ns,135
day05_part2,Parse_string_dynamically,,,,17513861.0,ns,144
day05_part2,Parse_string_dynamically,,,,15980436.0,ns,153
day05_part2,Parse_string_dynamically,,,,18361294.0,ns,162
day05_part2,Parse_string_dynamically,,,,18782961.0,ns,171
day05_part2,Parse_string_dynamically,,,,16381902.0,ns,180
day05_part2,Parse_string_dynamically,,,,18339831.0,ns,189
day05_part2,Parse_string_dynamically,,,,26046656.0,ns,198
day05_part2,Parse_string_dynamically,,,,35360631.0,ns,207
day05_part2,Parse_string_dynamically,,,,26940918.0,ns,216
day05_part2,Parse_string_dynamically,,,,23422758.0,ns,225
day05_part2,Parse_string_dynamically,,,,32410691.0,ns,234
day05_part2,Parse_string_dynamically,,,,27573975.0,ns,243
day05_part2,Parse_string_dynamically,,,,55045084.0,ns,252
day05_part2,Parse_string_dynamically,,,,37002599.0,ns,261
day05_part2,Parse_string_dynamically,,,,132268584.0,ns,270
day05_part2,Parse_string_dynamically,,,,70797957.0,ns,279
day05_part2,Parse_string_dynamically,,,,43784873.0,ns,288
day05_part2,Parse_string_dynamically,,,,35977963.0,ns,297
day05_part2,Parse_string_dynamically,,,,33962288.0,ns,306
day05_part2,Parse_string_dynamically,,,,31336421.0,ns,315
day05_part2,Parse_string_dynamically,,,,33840546.0,ns,324
day05_part2,Parse_string_dynamically,,,,37067720.0,ns,333
day05_part2,Parse_string_dynamically,,,,41105501.0,ns,342
day05_part2,Parse_string_dynamically,,,,37557956.0,ns,351
day05_part2,Parse_string_dynamically,,,,45407254.0,ns,360
day05_part2,Parse_string_dynamically,,,,37001356.0,ns,369
day05_part2,Parse_string_dynamically,,,,37723187.0,ns,378
day05_part2,Parse_string_dynamically,,,,37750126.0,ns,387
day05_part2,Parse_string_dynamically,,,,38468616.0,ns,396
day05_part2,Parse_string_dynamically,,,,39899000.0,ns,405
day05_part2,Parse_string_dynamically,,,,40133812.0,ns,414
day05_part2,Parse_string_dynamically,,,,36831828.0,ns,423
day05_part2,Parse_string_dynamically,,,,42302817.0,ns,432
day05_part2,Parse_string_dynamically,,,,48513777.0,ns,441
day05_part2,Parse_string_dynamically,,,,45192042.0,ns,450
day05_part2,Parse_string_dynamically,,,,44569896.0,ns,459
day05_part2,Parse_string_dynamically,,,,79220399.0,ns,468
day05_part2,Parse_string_dynamically,,,,63229069.0,ns,477
day05_part2,Parse_string_dynamically,,,,48374120.0,ns,486
day05_part2,Parse_string_dynamically,,,,45383290.0,ns,495
day05_part2,Parse_string_dynamically,,,,46623867.0,ns,504
day05_part2,Parse_string_dynamically,,,,48408654.0,ns,513
day05_part2,Parse_string_dynamically,,,,46722212.0,ns,522
day05_part2,Parse_string_dynamically,,,,48051892.0,ns,531
day05_part2,Parse_string_dynamically,,,,48302963.0,ns,540
day05_part2,Parse_string_dynamically,,,,50261180.0,ns,549
