group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part1,Hashsets,,,,1521769.0,ns,2
day06_part1,Hashsets,,,,2657955.0,ns,4
day06_part1,Hashsets,,,,4046126.0,ns,6
day06_part1,Hashsets,,,,5206204.0,ns,8
day06_part1,Hashsets,,,,6763275.0,ns,10
day06_part1,Hashsets,,,,7657201.0,ns,12
day06_part1,Hashsets,,,,9010156.0,ns,14
day06_part1,Hashsets,,,,9913374.0,ns,16
day06_part1,Hashsets,,,,11178319.0,ns,18
day06_part1,Hashsets,,,,12414988.0,ns,20
day06_part1,Hashsets,,,,13482218.0,ns,22
day06_part1,Hashsets,,,,13957592.0,ns,24
day06_part1,Hashsets,,,,16749071.0,ns,26
day06_part1,Hashsets,,,,17872723.0,ns,28
day06_part1,Hashsets,,,,18529153.0,ns,30
day06_part1,Hashsets,,,,19482604.0,ns,32
day06_part1,Hashsets,,,,19964690.0,ns,34
day06_part1,Hashsets,,,,22357088.0,ns,36
day06_part1,Hashsets,,,,24196523.0,ns,38
day06_part1,Hashsets,,,,24863884.0,ns,40
day06_part1,Hashsets,,,,25281525.0,ns,42
day06_part1,Hashsets,,,,26193401.0,ns,44
day06_part1,Hashsets,,,,30061727.0,ns,46
day06_part1,Hashsets,,,,29656040.0,ns,48
day06_part1,Hashsets,,,,35267608.0,ns,50
day06_part1,Hashsets,,,,35481034.0,ns,52
day06_part1,Hashsets,,,,33408848.0,ns,54
day06_part1,Hashsets,,,,47259528.0,ns,56
day06_part1,Hashsets,,,,40753981.0,ns,58
day06_part1,Hashsets,,,,38865000.0,ns,60
day06_part1,Hashsets,,,,41925396.0,ns,62
day06_part1,Hashsets,,,,43074396.0,ns,64
day06_part1,Hashsets,,,,43880330.0,ns,66
day06_part1,Hashsets,,,,45118939.0,ns,68
day06_part1,Hashsets,,,,45568509.0,ns,70
day06_part1,Hashsets,,,,48091885.0,ns,72
day06_part1,Hashsets,,,,51104052.0,ns,74
day06_part1,Hashsets,,,,49970254.0,ns,76
day06_part1,Hashsets,,,,51730170.0,ns,78
day06_part1,Hashsets,,,,52899255.0,ns,80
day06_part1,Hashsets,,,,52322278.0,ns,82
day06_part1,Hashsets,,,,54393773.0,ns,84
day06_part1,Hashsets,,,,57467704.0,ns,86
day06_part1,Hashsets,,,,58377394.0,ns,88
day06_part1,Hashsets,,,,55585268.0,ns,90
day06_part1,Hashsets,,,,61364700.0,ns,92
day06_part1,Hashsets,,,,62138372.0,ns,94
day06_part1,Hashsets,,,,74719266.0,ns,96
day06_part1,Hashsets,,,,65484591.0,ns,98
day06_part1,Hashsets,,,,60689782.0,ns,100
day06_part1,Hashsets,,,,63639652.0,ns,102
day06_part1,Hashsets,,,,64998639.0,ns,104
day06_part1,Hashsets,,,,64289418.0,ns,106
day06_part1,Hashsets,,,,70716524.0,ns,108
day06_part1,Hashsets,,,,65599107.0,ns,110
day06_part1,Hashsets,,,,69432567.0,ns,112
day06_part1,Hashsets,,,,70243469.0,ns,114
day06_part1,Hashsets,,,,69322689.0,ns,116
day06_part1,Hashsets,,,,73373532.0,ns,118
day06_part1,Hashsets,,,,72993885.0,ns,120
day06_part1,Hashsets,,,,79854938.0,ns,122
day06_part1,Hashsets,,,,91713060.0,ns,124
day06_part1,Hashsets,,,,80273372.0,ns,126
day06_part1,Hashsets,,,,76220581.0,ns,128
day06_part1,Hashsets,,,,82818198.0,ns,130
day06_part1,Hashsets,,,,79711730.0,ns,132
day06_part1,Hashsets,,,,88800299.0,ns,134
day06_part1,Hashsets,,,,83077814.0,ns,136
day06_part1,Hashsets,,,,83123713.0,ns,138
day06_part1,Hashsets,,,,84385251.0,ns,140
day06_part1,Hashsets,,,,92085338.0,ns,142
day06_part1,Hashsets,,,,95804788.0,ns,144
day06_part1,Hashsets,,,,96718224.0,ns,146
day06_part1,Hashsets,,,,108326891.0,ns,148
day06_part1,Hashsets,,,,90739138.0,ns,150
day06_part1,Hashsets,,,,90656052.0,ns,152
day06_part1,Hashsets,,,,96256748.0,ns,154
day06_part1,Hashsets,,,,101651294.0,ns,156
day06_part1,Hashsets,,,,101528489.0,ns,158
day06_part1,Hashsets,,,,99601367.0,ns,160
day06_part1,Hashsets,,,,97302505.0,ns,162
day06_part1,Hashsets,,,,102045263.0,ns,164
day06_part1,Hashsets,,,,108913062.0,ns,166
day06_part1,Hashsets,,,,128277018.0,ns,168
day06_part1,Hashsets,,,,102166458.0,ns,170
day06_part1,Hashsets,,,,102842613.0,ns,172
day06_part1,Hashsets,,,,107364126.0,ns,174
day06_part1,Hashsets,,,,105781574.0,ns,176
day06_part1,Hashsets,,,,109253527.0,ns,178
day06_part1,Hashsets,,,,113399938.0,ns,180
day06_part1,Hashsets,,,,113927102.0,ns,182
day06_part1,Hashsets,,,,120479443.0,ns,184
day06_part1,Hashsets,,,,129798686.0,ns,186
day06_part1,Hashsets,,,,128144778.0,ns,188
day06_part1,Hashsets,,,,126375151.0,ns,190
day06_part1,Hashsets,,,,125900220.0,ns,192
day06_part1,Hashsets,,,,127518638.0,ns,194
day06_part1,Hashsets,,,,128303699.0,ns,196
day06_part1,Hashsets,,,,128191425.0,ns,198
day06_part1,Hashsets,,,,132370555.0,ns,200
