group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part2,Bits_manipulation,,,,1090974.0,ns,10
day06_part2,Bits_manipulation,,,,2846130.0,ns,20
day06_part2,Bits_manipulation,,,,3163289.0,ns,30
day06_part2,Bits_manipulation,,,,4159151.0,ns,40
day06_part2,Bits_manipulation,,,,5326253.0,ns,50
day06_part2,Bits_manipulation,,,,6092669.0,ns,60
day06_part2,Bits_manipulation,,,,7242666.0,ns,70
day06_part2,Bits_manipulation,,,,8008613.0,ns,80
day06_part2,Bits_manipulation,,,,9454744.0,ns,90
day06_part2,Bits_manipulation,,,,10089864.0,ns,100
day06_part2,Bits_manipulation,,,,10915421.0,ns,110
day06_part2,Bits_manipulation,,,,11687145.0,ns,120
day06_part2,Bits_manipulation,,,,13292569.0,ns,130
day06_part2,Bits_manipulation,,,,14504142.0,ns,140
day06_part2,Bits_manipulation,,,,15661881.0,ns,150
day06_part2,Bits_manipulation,,,,16210905.0,ns,160
day06_part2,Bits_manipulation,,,,17097366.0,ns,170
day06_part2,Bits_manipulation,,,,19203637.0,ns,180
day06_part2,Bits_manipulation,,,,22193906.0,ns,190
day06_part2,Bits_manipulation,,,,20314508.0,ns,200
day06_part2,Bits_manipulation,,,,20892294.0,ns,210
day06_part2,Bits_manipulation,,,,23762568.0,ns,220
day06_part2,Bits_manipulation,,,,23039765.0,ns,230
day06_part2,Bits_manipulation,,,,24235102.0,ns,240
day06_part2,Bits_manipulation,,,,26839690.0,ns,250
day06_part2,Bits_manipulation,,,,25952621.0,ns,260
day06_part2,Bits_manipulation,,,,28216474.0,ns,270
day06_part2,Bits_manipulation,,,,29760403.0,ns,280
day06_part2,Bits_manipulation,,,,30608447.0,ns,290
day06_part2,Bits_manipulation,,,,40709843.0,ns,300
day06_part2,Bits_manipulation,,,,43675164.0,ns,310
day06_part2,Bits_manipulation,,,,33537104.0,ns,320
day06_part2,Bits_manipulation,,,,33533528.0,ns,330
day06_part2,Bits_manipulation,,,,33839911.0,ns,340
day06_part2,Bits_manipulation,,,,36392031.0,ns,350
day06_part2,Bits_manipulation,,,,36410767.0,ns,360
day06_part2,Bits_manipulation,,,,36613660.0,ns,370
day06_part2,Bits_manipulation,,,,37388387.0,ns,380
day06_part2,Bits_manipulation,,,,38640888.0,ns,390
day06_part2,Bits_manipulation,,,,41438544.0,ns,400
day06_part2,Bits_manipulation,,,,41473298.0,ns,410
day06_part2,Bits_manipulation,,,,41053677.0,ns,420
day06_part2,Bits_manipulation,,,,41622123.0,ns,430
day06_part2,Bits_manipulation,,,,43637891.0,ns,440
day06_part2,Bits_manipulation,,,,44100710.0,ns,450
day06_part2,Bits_manipulation,,,,44914768.0,ns,460
day06_part2,Bits_manipulation,,,,46572925.0,ns,470
day06_part2,Bits_manipulation,,,,47578658.0,ns,480
day06_part2,Bits_manipulation,,,,48537071.0,ns,490
day06_part2,Bits_manipulation,,,,47945217.0,ns,500
day06_part2,Bits_manipulation,,,,49067183.0,ns,510
day06_part2,Bits_manipulation,,,,51143517.0,ns,520
day06_part2,Bits_manipulation,,,,51200527.0,ns,530
day06_part2,Bits_manipulation,,,,73067763.0,ns,540
day06_part2,Bits_manipulation,,,,56718219.0,ns,550
day06_part2,Bits_manipulation,,,,56162195.0,ns,560
day06_part2,Bits_manipulation,,,,56520006.0,ns,570
day06_part2,Bits_manipulation,,,,58954997.0,ns,580
day06_part2,Bits_manipulation,,,,58227361.0,ns,590
day06_part2,Bits_manipulation,,,,58517279.0,ns,600
day06_part2,Bits_manipulation,,,,58829715.0,ns,610
day06_part2,Bits_manipulation,,,,63105100.0,ns,620
day06_part2,Bits_manipulation,,,,64694578.0,ns,630
day06_part2,Bits_manipulation,,,,67826383.0,ns,640
day06_part2,Bits_manipulation,,,,69098430.0,ns,650
day06_part2,Bits_manipulation,,,,69221310.0,ns,660
day06_part2,Bits_manipulation,,,,68229984.0,ns,670
day06_part2,Bits_manipulation,,,,70836088.0,ns,680
day06_part2,Bits_manipulation,,,,77459990.0,ns,690
day06_part2,Bits_manipulation,,,,82891258.0,ns,700
day06_part2,Bits_manipulation,,,,72010519.0,ns,710
day06_part2,Bits_manipulation,,,,74637502.0,ns,720
day06_part2,Bits_manipulation,,,,76694363.0,ns,730
day06_part2,Bits_manipulation,,,,77696296.0,ns,740
day06_part2,Bits_manipulation,,,,78338791.0,ns,750
day06_part2,Bits_manipulation,,,,79722441.0,ns,760
day06_part2,Bits_manipulation,,,,80312832.0,ns,770
day06_part2,Bits_manipulation,,,,75652770.0,ns,780
day06_part2,Bits_manipulation,,,,78041172.0,ns,790
day06_part2,Bits_manipulation,,,,79101709.0,ns,800
day06_part2,Bits_manipulation,,,,80371871.0,ns,810
day06_part2,Bits_manipulation,,,,98037441.0,ns,820
day06_part2,Bits_manipulation,,,,83655818.0,ns,830
day06_part2,Bits_manipulation,,,,83476031.0,ns,840
day06_part2,Bits_manipulation,,,,83954634.0,ns,850
day06_part2,Bits_manipulation,,,,83653081.0,ns,860
day06_part2,Bits_manipulation,,,,84187599.0,ns,870
day06_part2,Bits_manipulation,,,,87175539.0,ns,880
day06_part2,Bits_manipulation,,,,86604358.0,ns,890
day06_part2,Bits_manipulation,,,,96200246.0,ns,900
day06_part2,Bits_manipulation,,,,92306056.0,ns,910
day06_part2,Bits_manipulation,,,,94009595.0,ns,920
day06_part2,Bits_manipulation,,,,105818875.0,ns,930
day06_part2,Bits_manipulation,,,,102232214.0,ns,940
day06_part2,Bits_manipulation,,,,93710602.0,ns,950
day06_part2,Bits_manipulation,,,,95851761.0,ns,960
day06_part2,Bits_manipulation,,,,97880402.0,ns,970
day06_part2,Bits_manipulation,,,,96621847.0,ns,980
day06_part2,Bits_manipulation,,,,97969184.0,ns,990
day06_part2,Bits_manipulation,,,,101273512.0,ns,1000
