group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part1,Bits_manipulation,,,,1082782.0,ns,20
day06_part1,Bits_manipulation,,,,2429633.0,ns,40
day06_part1,Bits_manipulation,,,,3395956.0,ns,60
day06_part1,Bits_manipulation,,,,4233460.0,ns,80
day06_part1,Bits_manipulation,,,,5153776.0,ns,100
day06_part1,Bits_manipulation,,,,6664439.0,ns,120
day06_part1,Bits_manipulation,,,,7101738.0,ns,140
day06_part1,Bits_manipulation,,,,8005302.0,ns,160
day06_part1,Bits_manipulation,,,,9229713.0,ns,180
day06_part1,Bits_manipulation,,,,9946816.0,ns,200
day06_part1,Bits_manipulation,,,,11335506.0,ns,220
day06_part1,Bits_manipulation,,,,11892672.0,ns,240
day06_part1,Bits_manipulation,,,,13187769.0,ns,260
day06_part1,Bits_manipulation,,,,14039795.0,ns,280
day06_part1,Bits_manipulation,,,,14817179.0,ns,300
day06_part1,Bits_manipulation,,,,15343988.0,ns,320
day06_part1,Bits_manipulation,,,,16044588.0,ns,340
day06_part1,Bits_manipulation,,,,17496499.0,ns,360
day06_part1,Bits_manipulation,,,,19021005.0,ns,380
day06_part1,Bits_manipulation,,,,19275310.0,ns,400
day06_part1,Bits_manipulation,,,,23870257.0,ns,420
day06_part1,Bits_manipulation,,,,23483678.0,ns,440
day06_part1,Bits_manipulation,,,,22161565.0,ns,460
day06_part1,Bits_manipulation,,,,25971321.0,ns,480
day06_part1,Bits_manipulation,,,,25083289.0,ns,500
day06_part1,Bits_manipulation,,,,25051295.0,ns,520
day06_part1,Bits_manipulation,,,,29114343.0,ns,540
day06_part1,Bits_manipulation,,,,27649082.0,ns,560
day06_part1,Bits_manipulation,,,,30826263.0,ns,580
day06_part1,Bits_manipulation,,,,31182039.0,ns,600
day06_part1,Bits_manipulation,,,,32722134.0,ns,620
day06_part1,Bits_manipulation,,,,48379255.0,ns,640
day06_part1,Bits_manipulation,,,,33422441.0,ns,660
day06_part1,Bits_manipulation,,,,33549593.0,ns,680
day06_part1,Bits_manipulation,,,,37012553.0,ns,700
day06_part1,Bits_manipulation,,,,37785780.0,ns,720
day06_part1,Bits_manipulation,,,,37501369.0,ns,740
day06_part1,Bits_manipulation,,,,38281217.0,ns,760
day06_part1,Bits_manipulation,,,,38098391.0,ns,780
day06_part1,Bits_manipulation,,,,39901864.0,ns,800
day06_part1,Bits_manipulation,,,,41763043.0,ns,820
day06_part1,Bits_manipulation,,,,42708444.0,ns,840
day06_part1,Bits_manipulation,,,,44485896.0,ns,860
day06_part1,Bits_manipulation,,,,45920251.0,ns,880
day06_part1,Bits_manipulation,,,,44124996.0,ns,900
day06_part1,Bits_manipulation,,,,44746621.0,ns,920
day06_part1,Bits_manipulation,,,,44960537.0,ns,940
day06_part1,Bits_manipulation,,,,47135344.0,ns,960
day06_part1,Bits_manipulation,,,,49820637.0,ns,980
day06_part1,Bits_manipulation,,,,50259433.0,ns,1000
day06_part1,Bits_manipulation,,,,51112310.0,ns,1020
day06_part1,Bits_manipulation,,,,54442443.0,ns,1040
day06_part1,Bits_manipulation,,,,55292344.0,ns,1060
day06_part1,Bits_manipulation,,,,69029584.0,ns,1080
day06_part1,Bits_manipulation,,,,63570898.0,ns,1100
day06_part1,Bits_manipulation,,,,58727812.0,ns,1120
day06_part1,Bits_manipulation,,,,59681725.0,ns,1140
day06_part1,Bits_manipulation,,,,60081555.0,ns,1160
day06_part1,Bits_manipulation,,,,56406485.0,ns,1180
day06_part1,Bits_manipulation,,,,59256258.0,ns,1200
day06_part1,Bits_manipulation,,,,59662990.0,ns,1220
day06_part1,Bits_manipulation,,,,62862612.0,ns,1240
day06_part1,Bits_manipulation,,,,60595056.0,ns,1260
day06_part1,Bits_manipulation,,,,61346869.0,ns,1280
day06_part1,Bits_manipulation,,,,61032471.0,ns,1300
day06_part1,Bits_manipulation,,,,71228702.0,ns,1320
day06_part1,Bits_manipulation,,,,68929663.0,ns,1340
day06_part1,Bits_manipulation,,,,70020702.0,ns,1360
day06_part1,Bits_manipulation,,,,72889027.0,ns,1380
day06_part1,Bits_manipulation,,,,89574322.0,ns,1400
day06_part1,Bits_manipulation,,,,70076527.0,ns,1420
day06_part1,Bits_manipulation,,,,72148724.0,ns,1440
day06_part1,Bits_manipulation,,,,71808790.0,ns,1460
day06_part1,Bits_manipulation,,,,71485415.0,ns,1480
day06_part1,Bits_manipulation,,,,71676373.0,ns,1500
day06_part1,Bits_manipulation,,,,73987088.0,ns,1520
day06_part1,Bits_manipulation,,,,75941147.0,ns,1540
day06_part1,Bits_manipulation,,,,80751594.0,ns,1560
day06_part1,Bits_manipulation,,,,79705877.0,ns,1580
day06_part1,Bits_manipulation,,,,79647095.0,ns,1600
day06_part1,Bits_manipulation,,,,79286600.0,ns,1620
day06_part1,Bits_manipulation,,,,81025859.0,ns,1640
day06_part1,Bits_manipulation,,,,100119561.0,ns,1660
day06_part1,Bits_manipulation,,,,83140678.0,ns,1680
day06_part1,Bits_manipulation,,,,81559317.0,ns,1700
day06_part1,Bits_manipulation,,,,83549129.0,ns,1720
day06_part1,Bits_manipulation,,,,83958093.0,ns,1740
day06_part1,Bits_manipulation,,,,85256021.0,ns,1760
day06_part1,Bits_manipulation,,,,87064625.0,ns,1780
day06_part1,Bits_manipulation,,,,87004496.0,ns,1800
day06_part1,Bits_manipulation,,,,96045012.0,ns,1820
day06_part1,Bits_manipulation,,,,91078750.0,ns,1840
day06_part1,Bits_manipulation,,,,97365461.0,ns,1860
day06_part1,Bits_manipulation,,,,112624514.0,ns,1880
day06_part1,Bits_manipulation,,,,94725509.0,ns,1900
day06_part1,Bits_manipulation,,,,92594813.0,ns,1920
day06_part1,Bits_manipulation,,,,92808880.0,ns,1940
day06_part1,Bits_manipulation,,,,95432980.0,ns,1960
day06_part1,Bits_manipulation,,,,98053653.0,ns,1980
day06_part1,Bits_manipulation,,,,96884414.0,ns,2000
